tube_assembly_id,quote_date,cost
TA-03583,2008-04-11,264.19
TA-02598,1999-07-09,262.89
TA-03829,2011-10-11,262.65
TA-15297,2013-05-14,260.74
TA-19421,2007-08-01,260.21
TA-11377,2013-10-24,259.03
TA-00715,2007-10-15,258.71
TA-00271,2007-10-15,256.73
TA-14768,2012-06-16,255.24
TA-18535,2013-07-26,249.56
TA-13176,2008-09-09,247.26
TA-03777,2011-08-02,246.55
TA-04748,2008-02-01,243.9
TA-15296,2013-05-14,243.43
TA-10360,2006-11-16,242.58
TA-18575,2014-06-06,242.02
TA-06502,2014-05-30,239.84
TA-16108,2014-06-13,239.68
TA-00277,2004-09-23,239.48
TA-20960,2011-08-01,238.46
TA-15310,2013-11-13,237.55
TA-00647,2011-07-14,236.89
TA-07577,2011-08-01,235.48
TA-05865,2002-03-22,234.77
TA-21155,2008-01-01,234.71
TA-15642,2013-01-01,233.95
TA-10824,2012-03-14,233.89
TA-13345,2011-08-01,230.99
TA-08884,2011-08-01,229.18
TA-16542,2012-01-16,228.51
TA-00046,2010-11-19,228.15
TA-20930,2011-08-01,225.86
TA-00252,2014-02-11,224.74
TA-08324,2005-07-14,224.31
TA-19711,2008-06-01,222.95
TA-01935,1996-11-27,222.53
TA-00253,2001-10-02,222.41
TA-03077,2014-04-23,222.22
TA-16203,2011-08-15,221.4
TA-17497,2008-04-01,221.22
TA-00540,2008-12-04,220.89
TA-20867,2014-01-22,220.67
TA-03714,2011-06-01,220.41
TA-17482,2008-07-01,220.32
TA-20457,2007-10-01,219.73
TA-14263,2013-11-12,219.67
TA-01069,2004-03-03,218.64
TA-15123,2013-01-15,215.22
TA-01891,2011-06-22,213.0
TA-02037,2013-09-01,212.08
TA-17370,2013-06-06,211.97
TA-18570,2014-06-06,209.87
TA-18915,2007-10-01,208.52
TA-15313,2012-05-29,206.8
TA-16443,2013-10-04,206.38
TA-21098,2008-04-01,205.82
TA-05755,2008-05-15,205.69
TA-01459,2013-11-01,204.72
TA-02199,1997-05-01,203.73
TA-19928,2008-10-01,203.67
TA-03006,2013-09-01,203.65
TA-04701,2013-09-01,201.58
TA-10811,2008-01-01,201.51
TA-05241,2004-09-02,201.23
TA-19975,2013-10-01,201.18
TA-19974,2013-10-01,201.18
TA-15323,2013-07-31,200.8
TA-19064,2008-07-01,200.41
TA-13336,2010-02-16,198.8
TA-19163,2011-08-01,198.73
TA-19302,2014-02-01,198.57
TA-17063,2013-08-08,197.98
TA-01621,2011-08-01,197.82
TA-20572,2008-02-01,197.41
TA-20605,2013-10-01,197.1
TA-18888,2007-10-01,196.88
TA-04039,2012-01-26,196.51
TA-19929,2008-05-01,195.67
TA-09688,2011-08-01,195.3
TA-04368,2011-10-11,195.13
TA-05498,2011-07-28,194.23
TA-03895,2001-09-06,194.17
TA-10883,2014-01-02,193.07
TA-20766,2013-11-02,192.27
TA-19579,2013-08-01,192.05
TA-12315,2008-03-01,191.61
TA-05500,2014-02-01,191.11
TA-05501,2014-02-01,190.65
TA-06450,2002-11-14,188.65
TA-01940,2001-05-10,188.13
TA-11453,2011-08-01,187.82
TA-19278,2010-12-27,185.96
TA-01676,2013-04-17,185.35
TA-00604,2012-08-14,185.04
TA-16724,2014-05-22,183.97
TA-13753,2010-02-01,183.82
TA-07058,2008-08-28,181.47
TA-13347,2011-08-01,181.05
TA-16664,2012-08-04,180.51
TA-20920,2013-10-01,180.35
TA-01949,2001-05-10,180.0
TA-19395,2007-08-15,177.91
TA-14189,2011-08-01,177.45
TA-04723,2013-04-23,177.35
TA-02994,1998-12-28,177.2
TA-02991,1998-12-28,177.2
TA-09687,2011-08-01,176.91
TA-02871,2004-08-18,173.88
TA-00670,2001-02-28,173.03
TA-11452,2011-08-01,172.8
TA-11257,2008-03-01,172.38
TA-08186,2013-08-01,171.51
TA-02996,2002-03-05,169.46
TA-20441,2013-10-01,169.17
TA-15621,2012-05-02,168.21
TA-19752,2011-12-09,168.04
TA-11604,2011-08-01,167.42
TA-02222,2013-02-12,166.87
TA-03033,2000-04-21,166.44
TA-03059,2000-07-11,165.89
TA-19857,2011-04-04,165.47
TA-03034,2000-04-24,164.73
TA-02443,2013-08-27,163.98
TA-18582,2014-07-21,163.37
TA-03865,2007-01-15,163.25
TA-11450,2011-08-01,163.11
TA-17528,2013-09-01,162.19
TA-19978,2013-10-01,162.16
TA-02027,2000-03-01,162.07
TA-05196,2011-12-02,161.31
TA-08376,2013-10-01,160.85
TA-02130,1997-05-13,160.14
TA-17062,2012-10-25,159.54
TA-20037,2013-10-01,159.44
TA-07797,2008-08-01,159.38
TA-11906,2009-12-03,157.81
TA-03052,2011-01-03,157.17
TA-02035,2008-07-08,155.79
TA-00034,2014-08-07,154.29
TA-06601,2013-09-01,153.79
TA-19281,2014-08-06,153.77
TA-01253,2014-02-01,153.38
TA-02855,2014-05-28,152.97
TA-20444,2013-10-01,151.44
TA-16441,2011-10-05,151.06
TA-01048,2013-07-18,150.6
TA-13574,2009-02-21,150.59
TA-18634,2014-02-24,149.93
TA-16763,2014-04-22,148.8
TA-14391,2010-07-14,148.25
TA-02286,2007-08-09,147.36
TA-06822,2013-07-31,146.53
TA-06126,2003-01-09,146.39
TA-14591,2010-06-18,146.21
TA-16450,2014-02-12,146.18
TA-19388,2013-06-01,145.75
TA-19576,2011-10-17,145.4
TA-14592,2010-06-18,145.05
TA-10780,2013-10-01,144.05
TA-06598,2013-09-01,143.27
TA-02641,2008-05-15,142.88
TA-13553,2014-01-22,142.68
TA-21185,2011-08-01,142.42
TA-07234,2013-06-21,142.09
TA-03099,2013-10-01,141.56
TA-16663,2012-07-28,140.94
TA-07173,2011-07-25,140.24
TA-14003,2010-05-12,139.38
TA-17850,2013-06-28,139.09
TA-12162,2011-08-01,139.08
TA-16689,2014-07-29,138.53
TA-05307,2002-09-16,138.4
TA-01742,2011-01-10,138.1
TA-11451,2011-08-01,138.02
TA-01764,2012-03-15,137.8
TA-01387,2001-03-07,137.09
TA-17056,2012-07-16,136.46
TA-18578,2013-10-23,136.26
TA-03542,2013-10-01,135.62
TA-07454,2010-11-01,135.31
TA-20044,2014-07-15,135.31
TA-18707,2013-10-01,135.05
TA-08459,2013-12-02,135.03
TA-08460,2013-12-02,134.83
TA-03520,2011-08-11,134.3
TA-03701,2005-05-01,134.17
TA-03044,2000-04-18,134.1
TA-06066,2013-12-02,133.92
TA-03250,2010-03-17,133.37
TA-19990,2013-09-01,132.18
TA-05015,2012-08-28,131.95
TA-08665,2012-02-16,131.73
TA-05531,2011-07-07,131.43
TA-00721,2013-11-20,131.31
TA-05496,2002-07-15,130.9
TA-09145,2013-12-02,130.87
TA-02890,2009-10-19,130.72
TA-09448,2013-09-01,130.0
TA-10823,2003-10-30,129.88
TA-03834,2011-10-11,129.59
TA-13868,2010-05-12,129.53
TA-16763,2015-01-01,128.87
TA-19991,2013-09-01,128.75
TA-02817,2012-10-25,128.02
TA-13497,2012-03-12,127.85
TA-14445,2013-01-22,127.25
TA-18177,2013-02-05,126.29
TA-10352,2013-10-01,126.26
TA-13870,2010-05-12,126.24
TA-16452,2013-11-11,126.21
TA-02045,2000-08-07,126.13
TA-02024,2000-03-01,125.69
TA-15876,2012-05-01,125.63
TA-00108,2013-10-01,125.38
TA-07305,2013-11-14,125.28
TA-13874,2010-05-12,125.06
TA-06128,2002-09-06,124.91
TA-16763,2016-01-01,124.88
TA-06703,2010-08-16,124.56
TA-01604,2007-04-12,123.87
TA-08086,2011-08-01,123.82
TA-11397,2011-08-01,123.62
TA-18071,2013-04-11,123.58
TA-02525,2013-10-01,123.44
TA-15776,2012-02-20,122.71
TA-17226,2014-01-30,122.43
TA-17920,2014-02-09,122.41
TA-10246,2013-05-22,122.31
TA-18641,2014-02-24,122.24
TA-05187,2013-10-01,122.05
TA-13358,2011-09-07,121.94
TA-04379,2013-10-01,121.52
TA-21067,2013-12-02,121.51
TA-21069,2013-12-02,121.43
TA-02578,2013-10-01,121.05
TA-03886,2013-06-01,120.98
TA-07472,2004-02-18,120.73
TA-03889,2013-06-01,120.56
TA-16763,2017-01-01,120.33
TA-18768,1997-10-20,120.31
TA-16713,2012-03-15,120.3
TA-17636,2013-07-28,120.29
TA-10882,2013-11-15,119.54
TA-16293,2011-10-05,119.41
TA-18702,2013-10-01,119.27
TA-03888,2013-06-01,119.07
TA-17483,2013-07-28,119.01
TA-15808,2013-01-16,118.6
TA-05341,2011-08-01,118.57
TA-01317,2011-08-01,118.31
TA-06309,2002-10-02,118.29
TA-04621,2008-08-14,118.24
TA-06261,2013-09-01,117.95
TA-07096,2011-06-03,117.88
TA-03884,2013-06-01,117.33
TA-18581,2013-05-02,116.76
TA-19761,2013-10-01,116.23
TA-09694,2011-08-01,115.95
TA-02041,2000-02-01,115.32
TA-20963,2013-10-01,115.07
TA-01557,2012-09-05,114.75
TA-18951,2008-05-09,114.5
TA-03053,2000-07-01,114.47
TA-20335,2013-10-01,114.31
TA-17767,2013-07-26,114.3
TA-20869,2013-10-01,114.29
TA-05970,2012-05-02,114.28
TA-12728,2009-07-01,114.24
TA-06123,2002-08-21,114.19
TA-15121,2012-09-07,114.06
TA-05433,2013-10-01,114.04
TA-18579,2013-10-23,114.03
TA-19708,2013-06-01,114.03
TA-01164,2013-08-19,113.72
TA-06725,2013-10-01,113.1
TA-10518,2013-05-01,112.95
TA-16436,2013-07-16,112.46
TA-17484,2008-07-10,112.37
TA-17214,2013-03-21,112.16
TA-04734,2013-06-23,112.11
TA-10894,2013-09-01,111.77
TA-06209,2013-10-01,111.68
TA-05599,2013-09-24,111.53
TA-00280,2002-12-16,111.49
TA-02556,2011-08-01,111.24
TA-01472,2002-06-04,111.04
TA-00783,2012-09-05,111.04
TA-05546,2012-04-12,111.02
TA-09949,2011-08-01,110.64
TA-21128,2013-12-05,109.73
TA-05005,2012-03-12,109.68
TA-00936,1999-09-01,109.59
TA-13986,2011-08-01,109.57
TA-17107,2012-10-31,109.49
TA-10469,2011-08-01,109.16
TA-05005,2011-08-01,109.14
TA-00935,1999-09-01,109.04
TA-01365,2012-07-11,108.6
TA-04264,2013-10-01,108.5
TA-16047,2012-09-01,108.48
TA-03489,2013-10-01,108.35
TA-10840,2013-04-07,108.23
TA-09068,2013-12-04,108.09
TA-02953,2011-10-28,107.98
TA-18752,2011-08-01,107.35
TA-17325,2012-11-26,107.13
TA-12611,2008-09-30,107.11
TA-11847,2007-07-03,107.05
TA-18005,2013-01-18,106.95
TA-16453,2014-02-12,106.94
TA-15679,2012-11-20,106.89
TA-06428,2013-08-01,106.88
TA-02353,1998-02-28,106.77
TA-12613,2009-09-21,106.75
TA-12612,2009-09-21,106.75
TA-10272,2013-03-15,106.51
TA-18590,2013-10-23,106.43
TA-08696,2013-09-01,106.0
TA-00054,2005-06-21,105.92
TA-13534,2014-02-17,105.45
TA-07803,2013-10-01,104.77
TA-01319,2011-08-01,104.73
TA-07176,2013-03-11,104.65
TA-14672,2011-08-01,104.65
TA-18924,2011-08-01,104.38
TA-11391,2012-01-30,104.21
TA-18705,2013-10-01,104.2
TA-04248,2013-10-01,104.13
TA-01554,2013-10-01,104.12
TA-10861,2013-09-01,103.87
TA-19993,2013-09-01,103.82
TA-04249,2013-10-01,103.67
TA-00747,2013-10-01,103.58
TA-02366,2013-06-23,103.38
TA-01393,2004-02-05,103.3
TA-01791,1997-10-20,103.03
TA-20016,2013-10-01,103.0
TA-04543,2013-09-01,102.8
TA-08499,2013-10-01,102.71
TA-01793,1997-10-20,102.63
TA-17439,2012-10-02,102.6
TA-16449,2013-11-11,102.56
TA-08848,2013-10-01,102.42
TA-07243,2013-10-01,102.23
TA-00162,2010-10-29,101.91
TA-08270,2013-04-18,101.66
TA-00300,2010-10-21,101.6
TA-02392,2008-04-14,101.54
TA-05511,2011-08-01,101.51
TA-03720,2013-10-01,101.34
TA-06969,2013-12-02,101.25
TA-12739,2011-08-01,100.99
TA-08271,2013-04-18,100.9
TA-05343,2013-10-01,100.82
TA-13853,2013-10-01,100.66
TA-00175,2013-05-01,100.65
TA-13310,2014-04-29,100.59
TA-04329,2013-10-01,100.59
TA-04976,2012-01-13,99.83
TA-13051,2009-09-22,99.6
TA-08779,2013-10-01,99.59
TA-17617,2013-10-01,99.58
TA-10118,2013-10-01,99.46
TA-00928,2013-10-01,99.46
TA-20965,2013-10-01,99.42
TA-09798,2013-11-11,99.18
TA-20954,2013-03-07,99.04
TA-03203,2011-08-01,99.02
TA-20222,2013-06-01,99.02
TA-01847,2013-12-02,99.01
TA-03202,2011-08-01,98.94
TA-13951,2011-08-01,98.82
TA-15705,2013-02-20,98.81
TA-15651,2013-05-10,98.76
TA-01719,2013-10-01,98.75
TA-18524,2014-03-11,98.7
TA-06435,2013-09-01,98.69
TA-20283,2013-09-01,98.69
TA-02475,2013-09-01,98.62
TA-20234,2013-10-01,98.62
TA-06532,2009-08-10,98.48
TA-19330,2013-05-01,98.35
TA-15650,2011-09-27,98.35
TA-20533,2013-03-17,98.29
TA-02476,2013-09-01,98.25
TA-10841,2013-12-12,98.18
TA-13836,2013-10-01,97.97
TA-01592,2012-10-10,97.94
TA-09302,2013-12-02,97.45
TA-12054,2013-07-01,97.4
TA-00513,2013-09-01,96.99
TA-09301,2013-12-02,96.93
TA-16866,2014-03-25,96.87
TA-13048,2012-07-03,96.83
TA-18651,2013-10-01,96.81
TA-14536,2011-08-01,96.74
TA-05710,2012-11-05,96.65
TA-19183,2013-06-01,96.57
TA-09903,2008-04-03,96.55
TA-08193,2013-09-01,96.46
TA-16541,2012-05-09,96.27
TA-10584,2012-01-24,96.15
TA-18329,2014-03-06,95.96
TA-03838,2005-08-31,95.89
TA-00779,2013-10-01,95.86
TA-10071,2011-08-01,95.84
TA-12424,2011-08-01,95.81
TA-00205,2013-10-01,95.63
TA-19536,2011-05-31,95.59
TA-03329,2013-09-01,95.48
TA-01151,2013-09-20,95.38
TA-19384,2013-10-01,95.34
TA-01997,2013-10-01,95.3
TA-09812,2011-08-01,95.19
TA-09811,2011-08-01,95.19
TA-09450,2013-11-02,95.19
TA-16586,2012-02-14,95.14
TA-18137,2014-03-06,95.12
TA-01953,2001-09-20,94.92
TA-00694,1995-06-27,94.9
TA-03736,2013-10-01,94.74
TA-11280,2013-07-01,94.7
TA-09998,2013-05-01,94.68
TA-11281,2013-07-01,94.62
TA-07802,2013-10-01,94.56
TA-01057,2013-10-01,94.5
TA-06443,2013-09-01,94.49
TA-10809,2013-03-24,94.47
TA-20505,2013-03-17,94.47
TA-05388,2013-10-01,94.37
TA-09441,2013-09-01,94.35
TA-05118,2013-06-01,94.24
TA-03759,2013-08-01,94.23
TA-00099,2013-10-01,94.21
TA-03758,2013-08-01,94.17
TA-05467,2013-10-01,94.07
TA-00198,2013-11-11,93.94
TA-11932,2007-06-13,93.93
TA-18718,2008-10-01,93.92
TA-20489,2013-10-01,93.9
TA-20596,2013-10-01,93.84
TA-10388,2006-07-13,93.82
TA-20545,2013-10-01,93.79
TA-00763,2013-06-01,93.78
TA-01760,1996-05-20,93.74
TA-04667,2013-06-01,93.73
TA-14190,2011-08-01,93.63
TA-00790,2013-10-01,93.55
TA-05253,2013-10-01,93.54
TA-00077,2012-04-05,93.5
TA-10565,2011-08-01,93.34
TA-01960,2013-09-01,93.27
TA-02184,2013-07-01,93.22
TA-01045,2013-09-01,93.21
TA-02432,2013-03-24,93.17
TA-13061,2013-05-01,93.12
TA-12422,2013-10-31,93.07
TA-01362,2013-09-01,92.8
TA-01817,2008-05-27,92.77
TA-07569,2013-06-16,92.74
TA-20849,2013-10-01,92.72
TA-01363,2013-09-01,92.71
TA-03617,2013-10-01,92.65
TA-16823,2012-12-10,92.62
TA-01777,2013-06-23,92.61
TA-03103,2004-04-08,92.51
TA-02264,2011-05-02,92.45
TA-20546,2013-10-01,92.37
TA-19010,2014-02-01,92.36
TA-08849,2013-10-01,92.23
TA-04183,2013-10-01,92.18
TA-00492,2013-09-01,92.1
TA-18782,2011-05-31,92.0
TA-17611,2013-10-01,92.0
TA-02509,2013-10-01,91.99
TA-08697,2013-09-01,91.89
TA-05123,2011-08-01,91.84
TA-00494,2013-09-01,91.71
TA-04619,2001-07-13,91.66
TA-12044,2014-08-22,91.65
TA-07287,2013-09-01,91.65
TA-07249,2013-10-01,91.58
TA-00052,2013-10-01,91.49
TA-03755,2013-07-01,91.47
TA-03756,2013-07-01,91.47
TA-09387,2013-09-01,91.41
TA-09386,2013-09-01,91.36
TA-02153,2013-09-01,91.3
TA-18245,2014-01-17,91.21
TA-12172,2011-08-01,91.2
TA-04168,2013-11-02,91.16
TA-19494,2014-03-28,91.13
TA-20208,2013-10-01,91.13
TA-05739,2013-10-01,91.12
TA-00679,2013-09-01,91.12
TA-04169,2013-11-02,91.11
TA-00440,2013-10-01,91.0
TA-00495,2013-09-01,90.97
TA-20371,2013-09-01,90.96
TA-00885,2013-10-01,90.96
TA-02728,2013-09-01,90.96
TA-05864,2013-10-01,90.93
TA-07128,2013-12-02,90.88
TA-09251,2013-09-01,90.81
TA-08161,2013-10-01,90.7
TA-20355,2013-09-01,90.69
TA-13520,2011-08-01,90.68
TA-00864,2013-10-01,90.67
TA-19063,2013-10-01,90.65
TA-20003,2013-10-01,90.62
TA-20002,2013-10-01,90.62
TA-20180,2008-07-10,90.61
TA-10868,2013-11-11,90.59
TA-19977,2013-10-01,90.57
TA-19351,2008-07-10,90.56
TA-02211,2013-08-04,90.43
TA-01251,2012-07-10,90.35
TA-09472,2014-02-01,90.31
TA-10520,2013-10-01,90.28
TA-05493,2002-07-15,90.24
TA-20614,2013-10-01,90.23
TA-10293,2013-10-01,90.2
TA-20000,2013-10-01,90.18
TA-10136,2013-10-01,90.08
TA-20553,2013-10-01,90.05
TA-00886,2013-10-01,89.99
TA-12347,2012-03-01,89.97
TA-19378,2013-08-01,89.91
TA-06166,2002-07-15,89.89
TA-09338,2013-09-01,89.87
TA-10290,2013-10-01,89.81
TA-08520,2013-09-01,89.74
TA-05559,2013-07-28,89.72
TA-02183,2013-09-01,89.65
TA-00681,2013-09-01,89.65
TA-04666,2013-10-01,89.65
TA-09339,2013-09-01,89.65
TA-10291,2013-10-01,89.61
TA-09914,2013-09-01,89.57
TA-20832,2013-10-01,89.56
TA-00493,2013-09-01,89.54
TA-02237,2013-06-01,89.49
TA-08606,2013-06-16,89.48
TA-09106,2013-10-01,89.45
TA-10696,2013-10-01,89.43
TA-10872,2013-09-01,89.33
TA-11028,2013-06-01,89.33
TA-05365,2013-08-04,89.29
TA-00770,2013-10-01,89.25
TA-06247,2013-10-01,89.23
TA-20825,2013-09-01,89.2
TA-05391,2013-08-04,89.2
TA-05193,2013-09-01,89.2
TA-17462,2008-12-01,89.19
TA-06208,2013-09-01,89.18
TA-02198,2013-10-01,89.15
TA-17629,2013-10-01,89.13
TA-07130,2008-06-27,89.1
TA-03824,2013-11-02,89.1
TA-06207,2013-10-01,89.1
TA-09447,2013-09-01,89.05
TA-07277,2012-07-11,89.01
TA-07170,2013-10-01,89.01
TA-20548,2013-10-01,89.0
TA-18706,2013-10-01,88.98
TA-08607,2013-06-16,88.87
TA-05638,2013-09-01,88.73
TA-16144,2011-07-26,88.73
TA-05372,2013-08-04,88.7
TA-08780,2013-10-01,88.69
TA-06388,2013-09-01,88.69
TA-07705,2005-11-18,88.69
TA-09884,2013-10-01,88.66
TA-11788,2013-09-01,88.63
TA-06362,2013-09-01,88.63
TA-05850,2013-09-01,88.58
TA-20426,2013-10-01,88.56
TA-20427,2013-10-01,88.56
TA-14074,2009-10-23,88.54
TA-05848,2013-09-01,88.52
TA-01617,2013-06-01,88.5
TA-07171,2013-10-01,88.49
TA-10813,2013-09-01,88.42
TA-11931,2007-06-13,88.37
TA-08826,2013-07-01,88.36
TA-01001,2010-10-06,88.35
TA-02730,2013-09-01,88.32
TA-09590,2013-09-01,88.24
TA-07801,2013-10-01,88.16
TA-07799,2013-10-01,88.16
TA-06397,2013-09-01,88.1
TA-03045,2012-07-03,88.08
TA-09797,2013-07-01,88.05
TA-08825,2013-08-01,88.03
TA-03499,2013-08-04,88.02
TA-06404,2013-09-01,87.98
TA-20989,2008-03-01,87.97
TA-03139,2013-10-01,87.9
TA-06552,2013-10-30,87.89
TA-15913,2011-06-30,87.87
TA-02729,2013-09-01,87.79
TA-06294,2013-08-04,87.74
TA-08824,2013-09-01,87.72
TA-08025,2013-09-01,87.71
TA-19198,2013-10-01,87.68
TA-20785,2013-09-01,87.68
TA-10505,2013-10-01,87.67
TA-01556,2013-10-01,87.66
TA-07980,2012-11-20,87.65
TA-01242,2013-10-01,87.63
TA-20510,2013-10-01,87.62
TA-16464,2012-03-08,87.6
TA-20948,2013-03-17,87.56
TA-20949,2013-03-17,87.56
TA-00320,2014-01-22,87.55
TA-20034,2013-10-01,87.49
TA-20458,2013-10-01,87.49
TA-01302,2013-10-01,87.47
TA-01303,2013-10-01,87.47
TA-07690,2013-10-01,87.42
TA-06673,2013-09-01,87.4
TA-05701,2013-09-01,87.4
TA-20456,2013-10-01,87.38
TA-02376,2013-06-01,87.38
TA-05133,2013-12-02,87.36
TA-05846,2013-09-01,87.32
TA-06246,2013-10-01,87.29
TA-08162,2013-10-01,87.28
TA-17488,2013-07-01,87.27
TA-04187,2011-08-01,87.26
TA-02510,2013-10-01,87.2
TA-01956,2013-09-01,87.18
TA-06129,2002-09-06,87.09
TA-07425,2013-09-01,87.06
TA-05377,2013-10-01,87.05
TA-06249,2013-10-01,87.0
TA-06188,2014-07-01,87.0
TA-01312,2013-10-01,87.0
TA-09119,2013-07-01,86.96
TA-20957,2013-10-01,86.95
TA-06410,2013-09-01,86.89
TA-06254,2013-10-01,86.86
TA-06250,2013-10-01,86.85
TA-18680,2013-10-01,86.84
TA-06761,2013-10-01,86.82
TA-05782,2013-06-01,86.8
TA-06465,2013-10-01,86.8
TA-18701,2013-10-01,86.78
TA-07507,2013-10-01,86.76
TA-07139,2013-09-01,86.72
TA-04327,2013-09-01,86.66
TA-05648,2013-08-04,86.62
TA-03379,2013-10-01,86.6
TA-06784,2013-07-01,86.55
TA-05783,2013-06-01,86.53
TA-00678,2013-09-01,86.53
TA-19396,2013-10-01,86.51
TA-00922,2013-06-01,86.51
TA-01957,2013-09-01,86.47
TA-20036,2013-10-01,86.46
TA-03149,2013-08-11,86.43
TA-00546,2013-07-01,86.32
TA-08248,2013-05-01,86.31
TA-03494,2013-08-04,86.29
TA-07771,2013-08-01,86.27
TA-08011,2013-09-01,86.27
TA-10323,2013-10-01,86.27
TA-18044,2012-11-20,86.23
TA-03980,2013-09-01,86.2
TA-09304,2013-07-01,86.16
TA-06442,2013-09-01,86.15
TA-01718,2013-10-01,86.11
TA-08009,2013-09-01,86.11
TA-05596,2013-08-04,86.11
TA-06406,2013-09-01,86.11
TA-18191,2013-09-13,86.07
TA-19124,2013-10-01,86.05
TA-06405,2013-09-01,86.05
TA-20768,2013-06-16,86.02
TA-19483,2013-06-01,85.98
TA-01650,2013-09-01,85.94
TA-03339,2013-10-01,85.91
TA-01834,2013-12-02,85.91
TA-20376,2013-10-01,85.91
TA-08828,2013-07-01,85.87
TA-06253,2013-10-01,85.84
TA-01958,2013-09-01,85.82
TA-09305,2013-07-01,85.81
TA-03244,2014-02-01,85.79
TA-06287,2013-08-04,85.78
TA-06290,2013-08-04,85.78
