tube_assembly_id,supplier,cost
TA-16860,S-0066,47.9
TA-11393,S-0066,47.87
TA-18529,S-0066,47.77
TA-11745,S-0066,47.71
TA-20960,S-0066,47.69
TA-12696,S-0064,47.64
TA-02641,S-0014,47.63
TA-02613,S-0026,47.62
TA-13949,S-0066,47.55
TA-09693,S-0066,47.53
TA-15310,S-0026,47.51
TA-20639,S-0066,47.51
TA-18008,S-0026,47.37
TA-02478,S-0066,47.3
TA-16326,S-0026,47.23
TA-04309,S-0066,47.12
TA-03951,S-0066,47.07
TA-06233,S-0026,47.04
TA-05865,S-0066,46.95
TA-21155,S-0026,46.94
TA-05514,S-0066,46.93
TA-07548,S-0058,46.8
TA-12596,S-0066,46.67
TA-09316,S-0066,46.43
TA-02148,S-0062,46.34
TA-01676,S-0064,46.34
TA-16823,S-0066,46.31
TA-00604,S-0066,46.26
TA-14071,S-0066,46.25
TA-13355,S-0066,46.1
TA-01742,S-0066,46.03
TA-05123,S-0066,45.92
TA-01947,S-0066,45.82
TA-10636,S-0058,45.7
TA-16812,S-0066,45.64
TA-19494,S-0066,45.57
TA-07236,S-0066,45.41
TA-15236,S-0058,45.36
TA-15563,S-0013,45.19
TA-18095,S-0026,45.18
TA-20930,S-0066,45.17
TA-05702,S-0066,45.05
TA-08128,S-0026,44.99
TA-03642,S-0066,44.92
TA-20619,S-0066,44.81
TA-17310,S-0026,44.78
TA-12940,S-0066,44.77
TA-03701,S-0014,44.72
TA-19711,S-0066,44.59
TA-07273,S-0066,44.54
TA-03250,S-0041,44.46
TA-19575,S-0026,44.43
TA-16330,S-0066,44.42
TA-07185,S-0058,44.35
TA-11394,S-0066,44.28
TA-11982,S-0026,44.27
TA-17497,S-0066,44.24
TA-17884,S-0026,44.18
TA-01001,S-0066,44.17
TA-05729,S-0081,44.16
TA-20867,S-0066,44.13
TA-17482,S-0066,44.06
TA-08653,S-0066,44.0
TA-20457,S-0066,43.95
TA-07980,S-0026,43.82
TA-02598,S-0066,43.82
TA-05531,S-0064,43.81
TA-13110,S-0066,43.8
TA-11927,S-0066,43.68
TA-19692,S-0066,43.53
TA-17912,S-0026,43.44
TA-10823,S-0014,43.29
TA-17914,S-0026,43.27
TA-17689,S-0026,43.22
TA-17999,S-0026,43.18
TA-18044,S-0066,43.11
TA-17359,S-0064,42.68
TA-17360,S-0064,42.68
TA-17713,S-0066,42.56
TA-07367,S-0066,42.5
TA-14684,S-0072,42.43
TA-14071,S-0105,42.39
TA-18453,S-0026,42.38
TA-07656,S-0026,42.35
TA-18455,S-0026,42.2
TA-01202,S-0066,42.2
TA-19752,S-0014,42.01
TA-08987,S-0051,42.01
TA-18570,S-0026,41.97
TA-07979,S-0026,41.86
TA-18028,S-0104,41.84
TA-12746,S-0007,41.81
TA-15253,S-0104,41.81
TA-02134,S-0064,41.75
TA-10754,S-0081,41.73
TA-00612,S-0013,41.73
TA-02222,S-0026,41.72
TA-18915,S-0066,41.7
TA-13134,S-0066,41.64
TA-20477,S-0066,41.51
TA-06599,S-0066,41.49
TA-01241,S-0026,41.46
TA-19654,S-0062,41.44
TA-15313,S-0064,41.36
TA-03112,S-0026,41.35
TA-21148,S-0026,41.34
TA-21098,S-0064,41.16
TA-05755,S-0066,41.14
TA-19356,S-0066,41.12
TA-14670,S-0066,40.96
TA-01459,S-0026,40.94
TA-07070,S-0066,40.92
TA-07624,S-0066,40.83
TA-19665,S-0026,40.76
TA-18286,S-0013,40.76
TA-18641,S-0066,40.75
TA-19928,S-0066,40.73
TA-11376,S-0005,40.61
TA-09806,S-0066,40.57
TA-18334,S-0081,40.43
TA-16667,S-0009,40.41
TA-05196,S-0064,40.33
TA-10811,S-0066,40.3
TA-11396,S-0066,40.25
TA-12544,S-0026,40.22
TA-11097,S-0030,40.18
TA-18758,S-0026,40.13
TA-19064,S-0066,40.08
TA-11593,S-0066,40.0
TA-09944,S-0066,39.86
TA-10882,S-0058,39.85
TA-01453,S-0026,39.79
TA-18284,S-0013,39.75
TA-19163,S-0066,39.75
TA-11099,S-0030,39.68
TA-01621,S-0066,39.56
TA-20572,S-0066,39.48
TA-18888,S-0066,39.38
TA-11544,S-0066,39.33
TA-04039,S-0066,39.3
TA-17843,S-0066,39.24
TA-15598,S-0104,39.23
TA-19929,S-0066,39.13
TA-17958,S-0072,38.94
TA-19536,S-0062,38.72
TA-16742,S-0066,38.67
TA-16743,S-0066,38.67
TA-17910,S-0026,38.57
TA-02085,S-0064,38.57
TA-14674,S-0072,38.47
TA-15289,S-0066,38.43
TA-11930,S-0066,38.31
TA-10895,S-0013,37.97
TA-01164,S-0062,37.91
TA-10996,S-0030,37.84
TA-10264,S-0066,37.82
TA-10456,S-0066,37.74
TA-01686,S-0066,37.65
TA-01048,S-0064,37.65
TA-19143,S-0066,37.53
TA-15881,S-0026,37.44
TA-20029,S-0066,37.17
TA-20030,S-0066,37.16
TA-05716,S-0066,37.03
TA-10241,S-0026,37.01
TA-16246,S-0026,36.98
TA-08878,S-0066,36.92
TA-05414,S-0066,36.89
TA-18500,S-0026,36.81
TA-10081,S-0066,36.8
TA-06212,S-0066,36.8
TA-14681,S-0072,36.78
TA-14680,S-0072,36.78
TA-14679,S-0072,36.78
TA-13182,S-0013,36.71
TA-10092,S-0066,36.69
TA-17379,S-0105,36.69
TA-02147,S-0026,36.62
TA-18321,S-0026,36.61
TA-17212,S-0066,36.6
TA-18320,S-0026,36.57
TA-02481,S-0066,36.4
TA-08468,S-0066,36.37
TA-15531,S-0026,36.32
TA-19259,S-0066,36.31
TA-07480,S-0066,36.31
TA-15188,S-0026,36.31
TA-07479,S-0066,36.31
TA-15759,S-0026,36.29
TA-15518,S-0066,36.27
TA-16394,S-0066,36.18
TA-16047,S-0041,36.16
TA-19238,S-0030,36.13
TA-04308,S-0066,36.1
TA-09068,S-0058,36.03
TA-04376,S-0066,35.96
TA-07263,S-0066,35.91
TA-15123,S-0054,35.87
TA-04428,S-0066,35.72
TA-17325,S-0066,35.71
TA-13553,S-0058,35.67
TA-15679,S-0041,35.63
TA-19395,S-0066,35.58
TA-16034,S-0105,35.48
TA-19622,S-0026,35.36
TA-17370,S-0058,35.33
TA-14167,S-0066,35.28
TA-15727,S-0104,35.15
TA-11395,S-0066,35.1
TA-01194,S-0064,35.07
TA-07173,S-0064,35.06
TA-18751,S-0066,34.91
TA-06026,S-0066,34.9
TA-09927,S-0026,34.86
TA-16255,S-0104,34.8
TA-01341,S-0066,34.74
TA-18772,S-0066,34.68
TA-03954,S-0066,34.64
TA-04294,S-0026,34.64
TA-12425,S-0066,34.5
TA-12358,S-0066,34.41
TA-10549,S-0066,34.4
TA-02559,S-0026,34.34
TA-05440,S-0066,34.26
TA-07726,S-0026,34.23
TA-19248,S-0030,34.19
TA-12361,S-0066,34.13
TA-19552,S-0030,34.13
TA-04769,S-0026,34.07
TA-08912,S-0066,34.04
TA-16052,S-0066,33.98
TA-00162,S-0066,33.97
TA-12383,S-0062,33.87
TA-00300,S-0062,33.87
TA-16534,S-0081,33.86
TA-02068,S-0064,33.86
TA-10550,S-0066,33.83
TA-09056,S-0066,33.83
TA-07454,S-0066,33.83
TA-07728,S-0026,33.78
TA-11373,S-0066,33.74
TA-17922,S-0104,33.68
TA-17374,S-0066,33.65
TA-03520,S-0066,33.57
TA-15119,S-0066,33.51
TA-12599,S-0064,33.47
TA-03033,S-0066,33.29
TA-13783,S-0013,33.27
TA-16668,S-0009,33.24
TA-15879,S-0066,32.99
TA-17961,S-0072,32.98
TA-03034,S-0066,32.95
TA-08665,S-0064,32.93
TA-00721,S-0064,32.83
TA-06997,S-0066,32.72
TA-19638,S-0026,32.71
TA-02890,S-0072,32.68
TA-01592,S-0066,32.65
TA-03574,S-0066,32.64
TA-15645,S-0066,32.57
TA-12352,S-0066,32.55
TA-11098,S-0030,32.53
TA-11108,S-0066,32.46
TA-16392,S-0104,32.45
TA-10154,S-0066,32.45
TA-02027,S-0066,32.41
TA-11310,S-0066,32.41
TA-02164,S-0026,32.4
TA-05181,S-0066,32.34
TA-06744,S-0066,32.33
TA-02036,S-0041,32.31
TA-17264,S-0013,32.24
TA-03940,S-0066,32.22
TA-13492,S-0066,32.17
TA-17917,S-0026,32.05
TA-02751,S-0066,31.93
TA-03952,S-0066,31.91
TA-04102,S-0026,31.91
TA-14445,S-0072,31.81
TA-16625,S-0026,31.75
TA-18225,S-0026,31.72
TA-16391,S-0104,31.67
TA-17916,S-0026,31.65
TA-17907,S-0026,31.65
TA-14531,S-0026,31.59
TA-13784,S-0013,31.52
TA-06132,S-0066,31.33
TA-13014,S-0026,31.23
TA-16074,S-0066,31.19
TA-06703,S-0066,31.14
TA-15382,S-0104,31.06
TA-04555,S-0066,31.05
TA-15846,S-0066,31.01
TA-09993,S-0066,30.99
TA-07618,S-0066,30.99
TA-04842,S-0066,30.98
TA-10455,S-0066,30.94
TA-14960,S-0026,30.89
TA-17738,S-0066,30.86
TA-14538,S-0066,30.81
TA-16263,S-0066,30.81
TA-05967,S-0058,30.68
TA-18782,S-0062,30.67
TA-10069,S-0066,30.61
TA-02855,S-0026,30.59
TA-08366,S-0072,30.56
TA-12394,S-0066,30.52
TA-07625,S-0066,30.48
TA-14169,S-0066,30.48
TA-16107,S-0026,30.44
TA-07067,S-0058,30.39
TA-13574,S-0080,30.12
TA-12591,S-0066,30.12
TA-14759,S-0066,30.09
TA-15538,S-0014,30.07
TA-15537,S-0014,30.04
TA-14530,S-0026,30.0
TA-15379,S-0105,29.92
TA-10122,S-0066,29.91
TA-13984,S-0066,29.85
TA-14304,S-0066,29.77
TA-10637,S-0066,29.75
TA-15761,S-0026,29.73
TA-07012,S-0066,29.69
TA-07277,S-0064,29.67
TA-05341,S-0066,29.64
TA-19247,S-0030,29.61
TA-17849,S-0066,29.55
TA-17711,S-0013,29.45
TA-17281,S-0013,29.41
TA-17282,S-0013,29.41
TA-17280,S-0013,29.41
TA-09284,S-0066,29.39
TA-01241,S-0081,29.35
TA-06822,S-0080,29.31
TA-04429,S-0066,29.3
TA-17216,S-0026,29.3
TA-01830,S-0026,29.28
TA-19468,S-0041,29.28
TA-06126,S-0066,29.28
TA-18271,S-0013,29.17
TA-15625,S-0066,29.16
TA-03960,S-0026,29.16
TA-00619,S-0026,29.15
TA-02541,S-0026,29.15
TA-15381,S-0105,29.12
TA-06028,S-0066,29.08
TA-10029,S-0066,29.04
TA-09981,S-0066,28.99
TA-08769,S-0066,28.96
TA-02041,S-0014,28.83
TA-10211,S-0066,28.79
TA-01980,S-0066,28.74
TA-03547,S-0066,28.73
TA-11561,S-0066,28.7
TA-01557,S-0064,28.69
TA-15227,S-0064,28.62
TA-21186,S-0066,28.59
TA-17739,S-0066,28.51
TA-17714,S-0066,28.47
TA-17734,S-0066,28.41
TA-19302,S-0066,28.37
TA-11819,S-0062,28.35
TA-10853,S-0064,28.34
TA-10068,S-0066,28.32
TA-17950,S-0072,28.32
TA-11719,S-0066,28.27
TA-06268,S-0066,28.18
TA-12638,S-0066,28.18
TA-02597,S-0041,28.14
TA-21019,S-0066,28.13
TA-03807,S-0026,28.12
TA-05809,S-0066,28.12
TA-03228,S-0062,28.09
TA-16659,S-0026,28.02
TA-16660,S-0026,28.02
TA-18620,S-0041,27.96
TA-05599,S-0058,27.88
TA-18221,S-0066,27.87
TA-11231,S-0066,27.85
TA-08920,S-0066,27.83
TA-15589,S-0105,27.82
